"Id","StartTime","Home","Away","Bookmaker","SnapshotTime","HoursBefore","TrueOddsHome","TrueOddsDraw","TrueOddsAway","PolymarketOutcomeHome","PolymarketOutcomeAway"
"ea2bbc6e-9420-4441-8589-f84527f35f16","14-03-2026 15:00:00","Burnley FC","AFC Bournemouth","pinnacle","26-03-2026 07:41:09","-11.16:41:09.6817126","4,73","4,20","1,82","0,225","0,535"
"ea2bbc6e-9420-4441-8589-f84527f35f16","14-03-2026 15:00:00","Burnley FC","AFC Bournemouth","matchbook","26-03-2026 07:41:09","-11.16:41:09.6830439","4,66","4,14","1,84","0,225","0,535"
"cc363d74-3d59-45ef-a4bd-c4f09d92e80d","14-03-2026 15:00:00","Sunderland AFC","Brighton & Hove Albion FC","pinnacle","26-03-2026 07:41:09","-11.16:41:09.7107365","3,79","3,51","2,22","0,265","0,455"
"cc363d74-3d59-45ef-a4bd-c4f09d92e80d","14-03-2026 15:00:00","Sunderland AFC","Brighton & Hove Albion FC","matchbook","26-03-2026 07:41:09","-11.16:41:09.7107542","3,76","3,46","2,24","0,265","0,455"
"d072b75a-b9c4-4b1d-9204-84a757390c8c","14-03-2026 17:30:00","Arsenal FC","Everton FC","pinnacle","26-03-2026 07:41:09","-11.14:11:09.7197090","1,45","4,89","9,35","0,695","0,105"
"d072b75a-b9c4-4b1d-9204-84a757390c8c","14-03-2026 17:30:00","Arsenal FC","Everton FC","matchbook","26-03-2026 07:41:09","-11.14:11:09.7197275","1,44","4,96","9,84","0,695","0,105"
"ffb0ff10-0a5a-459d-bff5-e5585bd60f66","14-03-2026 17:30:00","Chelsea FC","Newcastle United FC","pinnacle","26-03-2026 07:41:09","-11.14:11:09.7274388","1,90","4,26","4,19","0,525","0,245"
"ffb0ff10-0a5a-459d-bff5-e5585bd60f66","14-03-2026 17:30:00","Chelsea FC","Newcastle United FC","matchbook","26-03-2026 07:41:09","-11.14:11:09.7274485","1,90","4,32","4,12","0,525","0,245"
"d3f94cfb-4866-48d4-8960-4af04ffb928d","14-03-2026 20:00:00","West Ham United FC","Manchester City FC","pinnacle","26-03-2026 07:41:09","-11.11:41:09.7348605","5,14","4,50","1,71","0,195","0,585"
"d3f94cfb-4866-48d4-8960-4af04ffb928d","14-03-2026 20:00:00","West Ham United FC","Manchester City FC","matchbook","26-03-2026 07:41:09","-11.11:41:09.7348733","5,03","4,52","1,72","0,195","0,585"
"6938371e-eb00-48fc-a2c2-2245fa4cf7f9","15-03-2026 14:00:00","Manchester United FC","Aston Villa FC","pinnacle","26-03-2026 07:41:09","-10.17:41:09.7427699","1,72","4,61","4,99","0,565","0,205"
"6938371e-eb00-48fc-a2c2-2245fa4cf7f9","15-03-2026 14:00:00","Manchester United FC","Aston Villa FC","matchbook","26-03-2026 07:41:09","-10.17:41:09.7427805","1,76","4,35","4,97","0,565","0,205"
"44bb90d7-5d56-47ee-b93e-062f82df420a","15-03-2026 14:00:00","Crystal Palace FC","Leeds United FC","pinnacle","26-03-2026 07:41:09","-10.17:41:09.7502376","2,56","3,43","3,15","0,385","0,325"
"44bb90d7-5d56-47ee-b93e-062f82df420a","15-03-2026 14:00:00","Crystal Palace FC","Leeds United FC","matchbook","26-03-2026 07:41:09","-10.17:41:09.7502655","2,57","3,37","3,17","0,385","0,325"
"3cdaedf4-3207-4648-bb86-0eada93dc154","15-03-2026 14:00:00","Nottingham Forest FC","Fulham FC","pinnacle","26-03-2026 07:41:09","-10.17:41:09.7580459","2,38","3,54","3,36","0,42","0,305"
"3cdaedf4-3207-4648-bb86-0eada93dc154","15-03-2026 14:00:00","Nottingham Forest FC","Fulham FC","matchbook","26-03-2026 07:41:09","-10.17:41:09.7580554","2,38","3,55","3,35","0,42","0,305"
"4cdcd79b-dc08-4335-b2d9-d9f147c84276","15-03-2026 16:30:00","Liverpool FC","Tottenham Hotspur FC","pinnacle","26-03-2026 07:41:09","-10.15:11:09.7651983","1,31","7,20","10,00","0,755","0,095"
"83552aaf-308a-4176-9158-5ef84088efe8","16-03-2026 20:00:00","Brentford FC","Wolverhampton Wanderers FC","pinnacle","26-03-2026 07:41:09","-9.11:41:09.7728974","1,59","4,68","6,34","0,625","0,155"
